id;prenom;nom;genre;parti
jlmelenchon;Jean-Luc;Mélenchon;homme;gauche
mlepen;Marine;Le Pen;femme;droite
sroyal;Ségolène;Royal;femme;gauche
bkouchner;Bernard;Kouchner;homme;gauche
rbachelot;Roselyne;Bachelot;femme;droite
dstrausskahn;Dominique;Strauss-Kahn;homme;gauche
mvalls;Manuel;Valls;homme;gauche
mbarnier;Michel;Barnier;homme;droite
jpraffarin;Jean-Pierre;Raffarin;homme;droite
ddvillepin;Dominique;de Villepin;homme;droite
nsarkozy;Nicolas;Sarkozy;homme;droite
fbayrou;François;Bayrou;homme;centre
malliotmarie;Michèle;Alliot-Marie;femme;droite
pdvilliers;Philippe;de Villiers;homme;droite
fhollande;François;Hollande;homme;gauche
bdelanoe;Bertrand;Delanoë;homme;gauche
nmorano;Nadine;Morano;femme;droite
pbalkany;Patrick;Balkany;homme;droite
rdati;Rachida;Dati;femme;droite
lfabius;Laurent;Fabius;homme;gauche
cduflot;Cécile;Duflot;femme;gauche
pcharon;Pierre;Charon;homme;droite
ejoly;Eva;Joly;femme;gauche
emacron;Emmanuel;Macron;homme;centre
jchirac;Jacques;Chirac;homme;droite
